Name,Region,Scientific Name,Sun Exposure,Rating
"Arizona Ash, Velvet Ash or Modesto Ash",0,Fraxinus velutina,sun,7.20
Water Lilies,0,Nymphaea spp.,"sun, partial sun",7.20
"Daffodils, Jonquils, Paperwhites, or Narcissus",0,Narcissus spp.,sun,7.01
Dutch Hyacinth,0,Hyacinthus orientalis,sun,7.01
Mexican Ageratum or Flossflower,0,Ageratum houstonianum,"sun, partial sun",7.01
China Pinks,0,Dianthus chinensis,"sun, partial sun",7.01
Tulips,0,Tulipa spp.,sun,7.01
Pansy,0,Viola x wittrockiana,"sun, partial sun",7.01
Crocus,0,Crocus spp.,"sun, partial sun",7.01
Blue Colorado Spruce,0,Picea pungens f. glauca,sun,7.00
Queen Palm,0,"Syagrus romanzoffiana (Cocos plumosa, Arecastrum romanzoffianum)","sun, partial sun",7.00
Mediterranean Fan Palm,0,Chamaerops humilis,sun,7.00
Copper Plant,0,Acalypha wilkesiana,"sun, partial sun, shade",7.00
Big Periwinkle,0,Vinca major,"partial sun, shade",7.00
Japanese Flowering Quince,0,Chaenomeles japonica,"sun, partial sun",7.00
Pin Oak,0,Quercus palustris,sun,7.00
Willow Oak,0,Quercus phellos,sun,7.00
Gold Dust Plant or Japanese Aucuba,0,Aucuba japonica,,7.00
Shumard Oak,0,Quercus shumardii,sun,7.00
Bougainvillea or Tissue-Paper Flower,0,Bougainvillea spectabilis,"sun, partial sun",7.00
Border Forsythia,0,Forsythia x intermedia,"sun, partial sun",7.00
White Ash,0,Fraxinus americana,sun,7.00
Common Persimmon,0,Diospyros virginiana,sun,7.00
Cross Vine,0,Bignonia capreolata,"sun, partial sun",7.00
Lanceleaf Coreopsis,0,Coreopsis lanceolata,"sun, partial sun",7.00
Colorado Fir,0,Abies concolor,"sun, partial sun",7.00
Common Smokebush,0,Cotinus coggygria,"sun, partial sun",7.00
Lombardy Poplar,0,Populus nigra,sun,7.00
Fremont Cottonwood,0,Populus fremontii,sun,7.00
Washington Hawthorn,0,Crataegus phaenopyrum,"sun, partial sun",7.00
Blue Plumbago,0,Plumbago auriculata,"sun, partial sun",7.00
Mexican Heather,0,Cuphea hyssopifolia,"sun, partial sun",7.00
London Planetree,0,Platanus x acerifolia,sun,7.00
Sycamore or American Planetree,0,Platanus occidentalis,sun,7.00
Japanese Pittosporum,0,Pittosporum tobira,"sun, partial sun",7.00
Callery Pear,0,Pyrus calleryana,sun,7.00
Camphor Tree,0,Cinnamomum camphora,"sun, partial sun",7.00
Japanese Black Pine,0,Pinus thunbergiana,sun,7.00
Austrian Pine,0,Pinus nigra,sun,7.00
Mugo Pine,0,Pinus mugo,"sun, partial sun",7.00
Tea Olive or False Holly,0,Osmanthus spp.,"sun, partial sun",7.00
Gazania,0,Gazania spp.,sun,7.00
Weeping Willow,0,Salix alba,sun,7.00
American Elderberry,0,Sambucus canadensis,"sun, partial sun",7.00
Black Walnut,0,Juglans nigra,sun,7.00
Shrimp Plant,0,Justicia brandegeana,"sun, partial sun, shade",7.00
Mandevilla,0,Mandevilla x amabilis,"sun, partial sun",7.00
Copperbark Crapemyrtle,0,Lagerstroemia fauriei,sun,7.00
Common Crapemyrtle,0,Lagerstroemia indica,sun,7.00
"Hankow Willow, Dragon's Claw Willow, Globe Willow",0,Salix matsudana,sun,7.00
Crimson Bottlebrush,0,Callistemon citrinus (Callistemon lanceolatus),"sun, partial sun",7.00
Sweetbay Magnolia,0,Magnolia virginiana,"sun, partial sun",7.00
Canna,0,Canna x generalis,"sun, partial sun",7.00
Southern Magnolia,0,Magnolia grandiflora,"sun, partial sun",7.00
Caladium,0,Caladium x hortulanum,shade,7.00
Dwarf Palmetto Palm,0,Sabal minor,"sun, partial sun, shade",7.00
Chinese Fringe Flower or Chinese Witchhazel,0,Loropetalum chinense,"sun, partial sun",7.00
Mimosa,0,Albizia julibrissin,sun,7.00
Japanese Pagoda Tree,0,Sophora japonica,"sun, partial sun",7.00
Jelly Palm or Pindo Palm,0,Butia capitata (Cocos australis),sun,7.00
Tulip Poplar or Tuliptree,0,Liriodendron tulipifera,"sun, partial sun",7.00
American Elm,0,Ulmus americana,sun,7.00
Daylily,0,Hemerocallis spp.,"sun, partial sun",7.00
Ginkgo or Maidenhair Tree,0,Ginkgo biloba,sun,7.00
Southern Catalpa or Indian Bean Tree,0,Catalpa bignonioides,sun,7.00
Ornamental Sweet Potato,0,Ipomoea batatas,"sun, partial sun, shade",7.00
Common Lilac,0,Syringa vulgaris,sun,7.00
Evening Primrose,0,Oenothera speciosa,"sun, partial sun",7.00
Columbine,0,Aquilegia x hybrida,"partial sun, shade",6.21
Shagbark Hickory,0,Carya ovata,"sun, partial sun",6.20
Sugar Maple,0,Acer saccharum,"sun, partial sun",6.20
Eastern Cottonwood or Eastern Poplar,0,Populus deltoides,sun,6.20
Croton,0,Codiaeum variegatum,"partial sun, shade",6.20
Japanese Zelkova,0,Zelkova serrata,sun,6.20
Pecan,0,Carya illinoinensis,sun,6.20
Dwarf Cattail,0,Typha minima,"sun, partial sun",6.20
European Beech,0,Fagus sylvatica,"sun, partial sun, shade",6.20
Norway Spruce,0,Picea abies,"sun, partial sun",6.20
Northern Bayberry,0,Myrica pensylvanica,"sun, partial sun",6.20
Snapdragon,0,Antirrhinum majus,"sun, partial sun",6.01
Carnation,0,Dianthus caryophyllus,"sun, partial sun",6.01
Hardy Chrysanthemum,0,Chrysanthemum x morifolium (Dendranthema x morifolium),"sun, partial sun",6.01
Ornamental Cabbage and     Ornamental Kale,0,Brassica oleracea,"sun, partial sun",6.01
Drummond Red Maple,0,Acer rubrum var. drummondii,sun,6.00
Dwarf French Marigold,0,Tagetes patula,"sun, partial sun",6.00
Roses,0,Rosa spp.,"sun, partial sun",6.00
Pussy Willow,0,Salix discolor,"sun, partial sun",6.00
Cast Iron Plant,0,Aspidistra elatior,"partial sun, shade",6.00
Hinckley's Columbine,0,Aquilegia chrysantha var. hinckleyana,"partial sun, shade",6.00
Needle Palm,0,Rhapidophyllum hystrix,"sun, partial sun, shade",6.00
African Marigold or             American Marigold,0,Tagetes erecta,"sun, partial sun",6.00
Purpleleaf Plum,0,Prunus cerasifera,"sun, partial sun",6.00
Holly Fern,0,Cyrtomium falcatum,shade,6.00
Sweet Mock Orange,0,Philadelphus coronarius,"sun, partial sun",6.00
Star Magnolia,0,Magnolia stellata,"sun, partial sun",6.00
Pentas or Egyptian Star,0,Pentas lanceolata,"sun, partial sun",6.00
Witchhazels,0,Hamamelis spp.,"sun, partial sun",6.00
